Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
73.34,-21.280331191573,62.7726654054766,-2.55665845188321,0.0142187444131361,-0.00378150772931668,-0.0477496200760219,2
73.345,-21.2887794135484,62.7673149339606,-2.55665845188321,0.0141994366150337,-0.00394233831583192,-0.0478374635387053,2
73.35,-21.2972278360583,62.7619647790954,-2.55747837524124,0.0141793137914345,-0.00410753092521593,-0.0479253070013888,2
73.355,-21.3056808363819,62.7566218599009,-2.55747837524124,0.0141583768753202,-0.00426796160003511,-0.0480075994771452,2
73.36,-21.3141340243053,62.7512792375184,-2.5583013181907,0.0141366269440628,-0.00443274994741884,-0.0480898919529016,2
73.365,-21.3225917870562,62.7459438603771,-2.5583013181907,0.0141140649919164,-0.00459275615644528,-0.0481666240702901,2
73.37,-21.3310497244865,62.7406087601515,-2.55912708994631,0.0140906921593904,-0.00475711503001214,-0.0482433561876786,2
73.375,-21.33951223272,62.7352809130826,-2.55912708994631,0.014066509501807,-0.0049166723050286,-0.0483145194228324,2
73.38,-21.3479749027287,62.7299533229786,-2.55995549939525,0.0140415182225847,-0.00508057658020388,-0.0483856826579863,2
73.385,-21.3564421384844,62.7246329922886,-2.55995549939525,0.0140157194378982,-0.00523966054335472,-0.0484512693355353,2
73.39,-21.3649095231294,62.7193128985613,-2.56078635512657,0.0139891144138349,-0.00540308518739367,-0.0485168560130842,2
73.395,-21.3733814674393,62.7140000688442,-2.56078635512657,0.0139617043271981,-0.00556167155468708,-0.0485768593063655,2
73.4,-21.381853547773,62.7086874560393,-2.56161946546069,0.0139334905064953,-0.00572459163026534,-0.0486368625996468,2
73.405,-21.3903301806654,62.7033821101691,-2.56161946546069,0.0139044742057619,-0.00588264946033928,-0.0486912724563315,2
73.41,-21.3988069367291,62.6980769611011,-2.56245463847897,0.0138746568329012,-0.00604503325518917,-0.0487456823130161,2
73.415,-21.4072882372321,62.6927790802254,-2.56245463847897,0.0138440396868629,-0.00620254457658068,-0.0487944974380454,2
73.42,-21.4157696480867,62.6874813760138,-2.56329168191312,0.0138126242218506,-0.00636437357491763,-0.0488433125630746,2
73.425,-21.424255594259,62.6821909395897,-2.56329168191312,0.0137804117951346,-0.00652131504094549,-0.0488865290756151,2
73.43,-21.4327416379901,62.6769006596548,-2.56413040344664,0.0137474039209194,-0.00668256525901076,-0.0489297455881555,2
73.435,-21.4412322069183,62.6716176454324,-2.56413040344664,0.0137136020157524,-0.00683891314304969,-0.0489673601481699,2
73.44,-21.4497228606408,62.6663347674892,-2.56497061062626,0.0136790076547982,-0.00699956021065276,-0.0490049747081843,2
73.445,-21.4582180284471,62.6610591515118,-2.56497061062626,0.01364362231393,-0.0071552907703828,-0.0490369847440281,2
73.45,-21.4667132683128,62.6557836515712,-2.56581211088094,0.013607447629303,-0.00731531030143099,-0.049068994779872,2
73.455,-21.4752130101635,62.6505154081761,-2.56581211088094,0.0135704851359087,-0.00747039988152634,-0.0490953985504426,2
73.46,-21.4837128113703,62.6452472605469,-2.56665471154864,0.0135327365306614,-0.00762976757850442,-0.0491218023210132,2
73.465,-21.4922171014848,62.639986362368,-2.56665471154864,0.0134942034073913,-0.00778419263956784,-0.0491425989312294,2
73.47,-21.5007214382854,62.6347255396585,-2.56749821990525,0.0134548875234665,-0.00794288432299606,-0.0491633955414455,2
73.475,-21.5092302499449,62.6294719576288,-2.56749821990525,0.0134147905312544,-0.00809662145043961,-0.0491785849450008,2
73.48,-21.5177390956557,62.6242184307497,-2.56834244319406,0.0133739142482486,-0.00825461306793262,-0.0491937743485561,2
73.485,-21.5262524012125,62.6189721341038,-2.56834244319406,0.0133322603850423,-0.0084076389758325,-0.049203357347433,2
73.49,-21.5347657282226,62.613725872271,-2.56918718865535,0.0132898308189169,-0.00856490660604519,-0.0492129403463098,2
73.495,-21.5432834991093,62.6084868285489,-2.56918718865535,0.0132466273183728,-0.00871719813998618,-0.0492169185895826,2
